本能期训练报告 —— 站立任务
时间: 2026-09-05 18:20:00
本能区连接数: 582 | 每代婴儿: 96 x 2回合 | 最长回合: 3.0 秒
参数: 起步扰动 0.35 -> 最小 0.02 | 成功标准 2.6 秒

第 1110 代 | 本代最佳 0.99 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 27 秒
第 1120 代 | 本代最佳 1.03 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 27 秒
第 1130 代 | 本代最佳 1.04 秒 | 精英平均 0.99 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 27 秒
第 1140 代 | 本代最佳 1.01 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 28 秒
第 1146 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 1150 代 | 本代最佳 0.99 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 28 秒
第 1160 代 | 本代最佳 0.93 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 28 秒
第 1170 代 | 本代最佳 0.93 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 28 秒
第 1180 代 | 本代最佳 0.92 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 29 秒
第 1190 代 | 本代最佳 1.15 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 29 秒
第 1200 代 | 本代最佳 0.96 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 29 秒
第 1210 代 | 本代最佳 0.94 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 29 秒
第 1220 代 | 本代最佳 0.95 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 30 秒
第 1230 代 | 本代最佳 1.00 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 30 秒
第 1240 代 | 本代最佳 1.07 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 30 秒
第 1250 代 | 本代最佳 1.02 秒 | 精英平均 0.99 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 30 秒
第 1260 代 | 本代最佳 1.06 秒 | 精英平均 0.99 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 31 秒
第 1266 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 1270 代 | 本代最佳 0.86 秒 | 精英平均 0.78 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 31 秒
第 1280 代 | 本代最佳 0.93 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 31 秒
第 1290 代 | 本代最佳 0.92 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 31 秒
第 1300 代 | 本代最佳 0.94 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 32 秒
第 1310 代 | 本代最佳 0.96 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 32 秒
第 1320 代 | 本代最佳 0.93 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 32 秒
第 1330 代 | 本代最佳 0.96 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 32 秒
第 1340 代 | 本代最佳 1.01 秒 | 精英平均 0.92 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 33 秒
第 1350 代 | 本代最佳 0.98 秒 | 精英平均 0.93 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 33 秒
第 1360 代 | 本代最佳 0.95 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 33 秒
第 1370 代 | 本代最佳 1.07 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 33 秒
第 1380 代 | 本代最佳 1.00 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 34 秒
第 1386 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 1390 代 | 本代最佳 0.86 秒 | 精英平均 0.80 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 34 秒
第 1400 代 | 本代最佳 0.88 秒 | 精英平均 0.86 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 34 秒
第 1410 代 | 本代最佳 1.05 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 34 秒
第 1420 代 | 本代最佳 1.13 秒 | 精英平均 0.97 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 35 秒
第 1430 代 | 本代最佳 0.99 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 35 秒
第 1440 代 | 本代最佳 1.12 秒 | 精英平均 1.01 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 35 秒
第 1450 代 | 本代最佳 1.02 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 35 秒
第 1460 代 | 本代最佳 1.15 秒 | 精英平均 1.04 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 36 秒
第 1470 代 | 本代最佳 1.11 秒 | 精英平均 0.99 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 36 秒
第 1480 代 | 本代最佳 1.12 秒 | 精英平均 1.02 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 36 秒
第 1490 代 | 本代最佳 1.11 秒 | 精英平均 1.02 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 36 秒
第 1500 代 | 本代最佳 1.11 秒 | 精英平均 1.01 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 37 秒
第 1506 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 1510 代 | 本代最佳 0.90 秒 | 精英平均 0.86 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 37 秒
第 1520 代 | 本代最佳 0.90 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 37 秒
第 1530 代 | 本代最佳 0.89 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 37 秒
第 1540 代 | 本代最佳 0.92 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 38 秒
第 1550 代 | 本代最佳 0.95 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 38 秒
第 1560 代 | 本代最佳 0.93 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 38 秒
第 1570 代 | 本代最佳 1.01 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 38 秒
第 1580 代 | 本代最佳 0.89 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 39 秒
第 1590 代 | 本代最佳 0.89 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 39 秒
第 1600 代 | 本代最佳 0.90 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 39 秒
第 1610 代 | 本代最佳 0.90 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 39 秒
第 1620 代 | 本代最佳 0.92 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 40 秒
第 1626 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 1630 代 | 本代最佳 0.91 秒 | 精英平均 0.79 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 40 秒
第 1640 代 | 本代最佳 0.88 秒 | 精英平均 0.86 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 40 秒
第 1650 代 | 本代最佳 0.91 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 40 秒
第 1660 代 | 本代最佳 0.94 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 41 秒
第 1670 代 | 本代最佳 0.91 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 41 秒
第 1680 代 | 本代最佳 0.91 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 41 秒
第 1690 代 | 本代最佳 0.93 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 41 秒
第 1700 代 | 本代最佳 0.92 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 42 秒
第 1710 代 | 本代最佳 0.93 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 42 秒
第 1720 代 | 本代最佳 0.97 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 42 秒
第 1730 代 | 本代最佳 0.98 秒 | 精英平均 0.95 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 42 秒
第 1740 代 | 本代最佳 1.10 秒 | 精英平均 0.99 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 43 秒
第 1746 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 1750 代 | 本代最佳 0.90 秒 | 精英平均 0.83 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 43 秒
第 1760 代 | 本代最佳 0.89 秒 | 精英平均 0.86 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 43 秒
第 1770 代 | 本代最佳 0.93 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 43 秒
第 1780 代 | 本代最佳 0.92 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 44 秒
第 1790 代 | 本代最佳 0.89 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 44 秒
第 1800 代 | 本代最佳 0.93 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 44 秒
第 1810 代 | 本代最佳 0.90 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 44 秒
